month,Route,Route Name,Passengers,Total Miles,Total Hours,P/Mi,%DIFF FROM prior (P/Mi),P/Hrs,%DIFF FROM prior (P/Hrs)
apr2023,7,South St,16145,8816.43,,1.83,26.94%,21.7,30.92%
apr2023,8,Klondike Express,8869,5806.76,,1.53,74.66%,19.8,74.25%
apr2023,9,Park East,2427,4152.11,,0.58,-10.83%,8.6,-8.22%
apr2023,10,Northwestern,22867,7105.88,,3.22,72.78%,40.8,83.20%
apr2023,23,Connector,14654,5141.4,,2.85,63.22%,33.5,63.33%
apr2023,Others,Others,-,N/A,,,N/A,,N/A
apr2023,,,,,,,21.56%,27.1,22.10%
apr2023,13,Silver Loop,50205,4475.45,644.95,11.22,28.37%,77.8,23.85%
apr2023,15,Tower Acres,34723,6138.68,743.98,5.66,85.20%,46.7,80.02%
apr2023,17,Ross Ade,3925,3723.7,438.01,1.05,-58.03%,9.0,-66.30%
apr2023,28,Gold Loop,25828,5069.82,544.73,5.09,23.02%,47.4,21.72%
apr2023,,,,,,,32.80%,48.4,24.22%
apr2023,21A,Lark & Alight,22457,7010.3,490.65,3.2,34.90%,45.8,36.02%
apr2023,24,Redpoint,5543,5188.39,283.03,1.07,54.44%,19.6,49.71%
apr2023,35,Lindberg Express,45763,7835.22,628.34,5.84,79.14%,72.8,76.15%
apr2023,,,,,,,61.23%,52.6,59.45%
apr2023,DR,ACCESS/FLEX,3178,15025.7,1185.11,0.21,1.80%,2.7,-1.08%
apr2023,Demand Response Total:,,"3,178 15,025.70 1185.11 0.21",,,,1.80%,2.7,-1.08%
may2023,1A,Market Square,19377,14039.0,,1.38,38.51%,18.3,41.96%
may2023,1B,Salisbury,24721,9976.77,,1.94,32.59%,31.9,41.64%
may2023,2A,Schuyler Ave,6332,3856.07,,5.03,16.64%,20.1,50.23%
may2023,2B,Union St,6469,3856.78,,5.02,11.87%,19.1,53.81%
may2023,3,Lafayette Square,9500,10635.78,,1.82,36.65%,12.9,26.31%
may2023,4A,Tippecanoe Mall,11577,6447.22,,3.01,34.29%,18.8,19.98%
may2023,4B,Purdue West,34670,12035.12,,1.61,36.01%,38.9,16.95%
may2023,5,Happy Hollow,5738,5206.09,,3.72,11.36%,17.5,-36.58%
may2023,6A,Fourth St,15629,11710.97,,1.65,33.65%,21.4,38.46%
may2023,6B,South 9th,4461,4434.95,,4.37,40.08%,13.2,19.64%
may2023,7,South St,15893,9347.3,,2.07,33.55%,19.8,16.39%
may2023,8,Klondike Express,11878,6232.06,,3.11,56.82%,24.8,57.51%
may2023,9,Park East,3655,4772.28,,4.06,20.54%,11.3,58.91%
may2023,10,Northwestern,9693,4997.63,,3.88,25.46%,24.9,38.63%
may2023,23,Connector,7183,6338.74,,3.06,-4.56%,13.5,17.20%
may2023,Others,Others,,,,0.0,0.00%,0.0,0.00%
may2023,,,,,,,26.81%,21.6,26.07%
may2023,13,Silver Loop,6419,1128.16,162.22,5.69,100.00%,39.6,100.00%
may2023,15,Tower Acres,4400,1514.08,185.07,2.91,100.44%,23.8,94.08%
may2023,17,Ross Ade,589,970.29,112.94,0.61,-43.03%,5.2,-53.77%
may2023,28,Gold Loop,3026,1234.03,132.53,2.45,72.31%,22.8,70.57%
may2023,,,,,,,53.92%,24.4,44.13%
may2023,21A,Lark & Alight,3321,1638.05,120.44,2.03,-14.63%,27.6,-18.06%
may2023,24,Redpoint,968,1313.02,70.91,0.74,6.57%,13.7,4.35%
may2023,35,Lindberg Express,6256,2003.47,159.66,3.12,-4.23%,39.2,-5.23%
may2023,,,,,,,-6.80%,30.0,-8.95%
may2023,DR,ACCESS/FLEX,3254,15741.19,1271.49,0.21,-0.50%,2.6,-5.60%
may2023,Demand Response Total:,,"3,254 15,741.19 1271.49 0.21",,,,-0.50%,2.6,-5.60%
jun2023,1A,Market Square,19860,14050.59,1069.38,1.41,63.09%,18.57,39.28%
jun2023,1B,Salisbury,24755,10037.45,780.63,2.47,98.47%,31.71,53.89%
jun2023,2A,Schuyler Ave,7136,3857.16,316.18,1.85,40.29%,22.57,32.20%
jun2023,2B,Union St,5550,3862.28,339.07,1.44,50.33%,16.37,34.96%
jun2023,3,Lafayette Square,8989,10614.03,756.38,0.85,46.18%,11.88,26.98%
jun2023,4A,Tippecanoe Mall,12878,6433.03,613.12,2.0,45.80%,21.0,21.81%
jun2023,4B,Purdue West,32284,12146.5,899.93,2.66,98.57%,35.87,46.03%
jun2023,5,Happy Hollow,4198,4277.98,263.44,0.98,89.32%,15.94,57.10%
jun2023,6A,Fourth St,14243,10645.62,813.06,1.34,45.52%,17.52,17.99%
jun2023,6B,South 9th,2855,4371.37,323.67,0.65,52.06%,8.82,27.18%
jun2023,7,South St,16646,9365.99,799.09,1.78,54.52%,20.83,36.63%
jun2023,8,Klondike Express,9972,6256.26,478.92,1.59,107.00%,20.82,51.85%
jun2023,9,Park East,4382,4749.79,322.85,0.92,153.37%,13.57,61.78%
jun2023,10,Northwestern,8120,4216.7,326.02,1.93,76.81%,24.91,47.77%
jun2023,23,Connector,6812,6533.7,536.23,1.04,61.51%,12.7,43.02%
jun2023,Others,Others,,,,,#DIV/0!,,#DIV/0!
jun2023,,,,,,,73.15%,20.69,41.12%
jun2023,13,Silver Loop,-,-,-,,-,,-
jun2023,15,Tower Acres,-,-,-,,-,,-
jun2023,17,Ross Ade,-,-,-,,-,,-
jun2023,28,Gold Loop,-,-,-,,-,,-
jun2023,,,,,,,-,,-
jun2023,21A,Lark & Alight,-,-,-,,-,,-
jun2023,24,Redpoint,-,-,-,,-,,-
jun2023,35,Lindberg Express,-,-,-,,-,,-
jun2023,,,,,,,-,,-
jun2023,DR,ACCESS/FLEX,3325,15526,1246,0.21,-23.32%,2.67,128.66%
jun2023,Demand Response Total:,,33251552612460.21,,,,-23.32%,2.67,128.66%
jul2023,1A,Market Square,17539,13602.05,1022.43,1.29,13.66%,17.15,-6.92%
jul2023,1B,Salisbury,25330,9720.32,752.21,2.61,43.32%,33.67,-8.44%
jul2023,2A,Schuyler Ave,6348,3561.74,289.62,1.78,9.14%,21.92,-5.81%
jul2023,2B,Union St,5105,3597.43,318.94,1.42,29.81%,16.01,3.72%
jul2023,3,Lafayette Square,8742,9964.36,717.08,0.88,41.90%,12.19,2.51%
jul2023,4A,Tippecanoe Mall,12406,6245.27,602.28,1.99,12.83%,20.6,13.26%
jul2023,4B,Purdue West,41764,11693.5,867.68,3.57,29.45%,48.13,7.52%
jul2023,5,Happy Hollow,4692,3844.98,238.61,1.22,-8.62%,19.66,-0.99%
jul2023,6A,Fourth St,13593,10426.27,805.03,1.3,21.81%,16.89,9.91%
jul2023,6B,South 9th,2571,4179.31,310.64,0.62,39.81%,8.28,1.85%
jul2023,7,South St,14333,8942.94,767.78,1.6,1.70%,18.67,-3.22%
jul2023,8,Klondike Express,10066,6048.45,465.94,1.66,46.59%,21.6,-0.33%
jul2023,9,Park East,3297,4362.4,293.29,0.76,43.38%,11.24,-1.69%
jul2023,10,Northwestern,7134,3983.85,308.93,1.79,18.51%,23.09,-1.93%
jul2023,23,Connector,6509,6096.99,500.09,1.07,14.11%,13.02,12.97%
jul2023,Others,Others,64,,,,#DIV/0!,,#DIV/0!
jul2023,,,,,,,24.20%,21.73,1.13%
jul2023,13,Silver Loop,-,-,-,,-,,-
jul2023,15,Tower Acres,-,-,-,,-,,-
jul2023,17,Ross Ade,-,-,-,,-,,-
jul2023,28,Gold Loop,-,-,-,,-,,-
jul2023,,,,,,,-,,-
jul2023,21A,Lark & Alight,-,-,-,,-,,-
jul2023,24,Redpoint,-,-,-,,-,,-
jul2023,35,Lindberg Express,-,-,-,,-,,-
jul2023,,,,,,,-,,-
jul2023,DR,ACCESS/FLEX,2820,14173,1124,0.2,-0.18%,2.51,3.31%
jul2023,Demand Response Total:,,28201417311240.2,,,,-0.18%,2.51,3.31%
aug2023,1A,Market Square,21810.0,14502.32,1097.2,1.5,27.29%,19.88,-7.08%
aug2023,1B,Salisbury,42122.0,10397.26,841.1,4.05,30.72%,50.08,-4.82%
aug2023,2A,Schuyler Ave,9657.0,3975.09,321.85,2.43,60.67%,30.0,-6.44%
aug2023,2B,Union St,6744.0,4018.75,359.13,1.68,25.22%,18.78,4.40%
aug2023,3,Lafayette Square,12754.0,11207.97,801.41,1.14,39.98%,15.91,4.83%
aug2023,4A,Tippecanoe Mall,12499.0,6641.28,640.91,1.88,12.24%,19.5,12.75%
aug2023,4B,Purdue West,83567.0,11944.95,927.61,7.0,46.94%,90.09,6.80%
aug2023,5,Happy Hollow,13444.0,5846.95,392.2,2.3,28.58%,34.28,-0.48%
aug2023,6A,Fourth St,15773.0,12134.1,769.06,1.3,12.75%,20.51,-2.03%
aug2023,6B,South 9th,5654.0,4648.31,344.98,1.22,33.02%,16.39,4.07%
aug2023,7,South St,18665.0,9735.66,817.84,1.92,8.80%,22.82,-4.30%
aug2023,8,Klondike Express,13170.0,6804.44,504.22,1.94,32.19%,26.12,6.73%
aug2023,9,Park East,3470.0,4967.34,340.76,0.7,3.07%,10.18,-0.68%
aug2023,10,Northwestern,20552.0,5656.19,467.2,3.63,14.21%,43.99,5.46%
aug2023,23,Connector,18954.0,8006.08,670.84,2.37,27.96%,28.25,29.89%
aug2023,Others,Others,1385.0,2210.43,266.48,0.63,#DIV/0!,5.2,#DIV/0!
aug2023,,,,,,,28.45%,31.39,5.15%
aug2023,13,Silver Loop,22691.0,1739.23,289.14,13.05,99.01%,78.48,9.03%
aug2023,14,Black Loop,762.0,482.0,55.42,1.58,n/a,13.75,n/a
aug2023,15,Tower Acres,18895.0,2159.64,290.12,8.75,52.03%,65.13,-5.89%
aug2023,20,South Campus Loop,664.0,730.14,93.55,0.91,n/a,7.1,n/a
aug2023,28,Gold Loop,10714.0,1537.17,193.08,6.97,152.92%,55.49,-14.31%
aug2023,,,,,,,94.16%,58.31,-5.64%
aug2023,21A,Lark & Alight,12638.0,2598.14,198.5,4.86,12.76%,63.67,-0.75%
aug2023,24,Redpoint,4412.0,1928.48,105.99,2.29,125.89%,41.63,-6.70%
aug2023,35,Lindberg Express,20009.0,3221.98,281.49,6.21,31.56%,71.08,10.30%
aug2023,,,,,,,32.42%,63.24,3.02%
aug2023,DR,ACCESS/FLEX,3466.0,16750.0,1295.0,0.21,0.29%,2.68,1.94%
aug2023,Demand Response Total:,,34661675012950.21,,,,0.29%,2.68,1.94%
sep2023,1A,Market Square,19730.0,13393.03,1018.86,1.47,8.72%,19.36,0.98%
sep2023,1B,Salisbury,46287.0,9747.32,823.42,4.75,16.41%,56.21,24.07%
sep2023,2A,Schuyler Ave,8840.0,3594.33,292.43,2.46,30.84%,30.23,1.12%
sep2023,2B,Union St,6196.0,3569.33,313.86,1.74,15.30%,19.74,3.73%
sep2023,3,Lafayette Square,12254.0,10392.68,725.47,1.18,21.46%,16.89,4.48%
sep2023,4A,Tippecanoe Mall,10961.0,6149.61,586.35,1.78,-3.71%,18.69,-0.45%
sep2023,4B,Purdue West,89498.0,10826.58,856.07,8.27,39.22%,104.55,5.00%
sep2023,5,Happy Hollow,17294.0,7061.5,511.38,2.45,-5.04%,33.82,-6.43%
sep2023,6A,Fourth St,15919.0,11350.97,715.45,1.4,10.18%,22.25,5.70%
sep2023,6B,South 9th,5957.0,4452.96,316.24,1.34,10.20%,18.84,-1.04%
sep2023,7,South St,17134.0,8933.23,740.94,1.92,0.23%,23.12,-1.93%
sep2023,8,Klondike Express,12607.0,6775.56,469.71,1.86,24.02%,26.84,6.91%
sep2023,9,Park East,2359.0,4318.78,294.3,0.55,-16.83%,8.02,-3.29%
sep2023,10,Northwestern,28550.0,7058.39,598.47,4.04,0.14%,47.7,17.76%
sep2023,23,Connector,25506.0,8764.02,753.62,2.91,14.28%,33.84,59.34%
sep2023,Others,Others,1.0,,,,#DIV/0!,,#DIV/0!
sep2023,,,,,,,16.55%,35.39,7.51%
sep2023,13,Silver Loop,40224.0,4143.01,649.77,9.71,23.48%,61.9,-5.19%
sep2023,14,Black Loop,1249.0,1007.08,114.35,1.24,-76.46%,10.92,-85.31%
sep2023,15,Tower Acres,35379.0,4946.04,653.53,7.15,,54.14,
sep2023,20,South Campus Loop,1701.0,1710.03,217.26,0.99,-22.87%,7.83,-47.61%
sep2023,28,Gold Loop,21106.0,3628.41,455.89,5.82,73.88%,46.3,-20.80%
sep2023,,,,,,,42.39%,47.67,-14.81%
sep2023,21A,Lark & Alight,28954.0,6371.32,463.84,4.54,4.29%,62.42,-6.39%
sep2023,24,Redpoint,9166.0,4289.48,235.78,2.14,94.61%,38.88,-9.13%
sep2023,35,Lindberg Express,42006.0,7487.89,637.68,5.61,27.50%,65.87,-3.46%
sep2023,,,,,,,25.33%,59.92,-5.52%
sep2023,DR,ACCESS/FLEX,3102.0,15663.0,1154.0,0.2,-1.21%,2.69,6.80%
sep2023,Demand Response Total:,,31021566311540.2,,,,-1.21%,2.69,6.80%
oct2023,1A,Market Square,21291.0,14288.22,1089.1,1.49,2.96%,19.55,-4.60%
oct2023,1B,Salisbury,40584.0,10211.51,866.27,3.97,-5.13%,46.85,1.44%
oct2023,2A,Schuyler Ave,10110.0,3858.98,309.09,2.62,28.08%,32.71,-3.86%
oct2023,2B,Union St,6364.0,3857.19,342.3,1.65,11.93%,18.59,6.47%
oct2023,3,Lafayette Square,12718.0,11363.46,802.24,1.12,6.71%,15.85,10.08%
oct2023,4A,Tippecanoe Mall,12118.0,6538.18,619.67,1.85,1.86%,19.56,12.22%
oct2023,4B,Purdue West,98471.0,11788.68,901.59,8.35,57.31%,109.22,7.49%
oct2023,5,Happy Hollow,16153.0,7637.75,542.84,2.11,-2.56%,29.76,2.27%
oct2023,6A,Fourth St,16276.0,12060.22,755.34,1.35,4.64%,21.55,-0.72%
oct2023,6B,South 9th,5036.0,4645.79,342.63,1.08,-6.16%,14.7,7.91%
oct2023,7,South St,18810.0,9575.55,785.59,1.96,-5.01%,23.94,-4.70%
oct2023,8,Klondike Express,12382.0,7340.13,503.3,1.69,-2.88%,24.6,24.40%
oct2023,9,Park East,2578.0,4768.08,324.34,0.54,-15.86%,7.95,3.54%
oct2023,10,Northwestern,29246.0,7212.06,607.05,4.06,19.38%,48.18,7.35%
oct2023,23,Connector,24089.0,9420.08,805.16,2.56,26.77%,29.92,58.46%
oct2023,Others,Others,0.0,0.0,0.0,0.0,0.00%,0.0,0.00%
oct2023,98,Feast Shuttle,7465.0,1201.94,69.73,6.21,18.53%,107.06,-20.54%
oct2023,,,,,,,14.47%,34.52,6.56%
oct2023,13,Silver Loop,41152.0,4592.12,658.3,8.96,13.63%,62.51,18.63%
oct2023,14,Black Loop,1260.0,1020.67,115.36,1.23,n/a,10.92,n/a
oct2023,15,Tower Acres,34802.0,5101.31,647.75,6.82,13.53%,53.73,-1.45%
oct2023,20,South Campus Loop,1335.0,1718.13,219.07,0.78,n/a,6.09,n/a
oct2023,28,Gold Loop,19985.0,3636.63,452.57,5.5,38.83%,44.16,-9.70%
oct2023,,,,,,,22.57%,47.08,0.99%
oct2023,21A,Lark & Alight,26305.0,6347.54,466.95,4.14,-18.32%,56.33,9.48%
oct2023,24,Redpoint,8826.0,4345.77,237.38,2.03,50.67%,37.18,-4.21%
oct2023,35,Lindberg Express,35758.0,7499.39,621.43,4.77,10.55%,57.54,16.57%
oct2023,,,,,,,3.34%,53.47,9.80%
oct2023,DR,ACCESS/FLEX,3362.0,16044.0,1219.0,0.21,1.06%,2.76,2.02%
oct2023,Demand Response Total:,,33621604412190.21,,,,1.06%,2.76,2.02%
nov2023,1A,Market Square,19605.0,13618.28,1032.48,1.44,14.48%,18.99,1.40%
nov2023,1B,Salisbury,36231.0,9798.3,826.56,3.7,2.79%,43.83,15.03%
nov2023,2A,Schuyler Ave,7064.0,3696.71,296.31,1.91,30.71%,23.84,-1.21%
nov2023,2B,Union St,5893.0,3693.61,325.65,1.6,9.68%,18.1,2.01%
nov2023,3,Lafayette Square,12055.0,10752.3,751.61,1.12,11.90%,16.04,10.51%
nov2023,4A,Tippecanoe Mall,12553.0,6242.76,589.88,2.01,18.24%,21.28,-1.26%
nov2023,4B,Purdue West,83242.0,11324.03,856.83,7.35,51.17%,97.15,-1.16%
nov2023,5,Happy Hollow,17270.0,7170.06,524.77,2.41,20.76%,32.91,1.61%
nov2023,6A,Fourth St,14631.0,11477.32,715.61,1.27,-3.44%,20.45,3.59%
nov2023,6B,South 9th,4280.0,4495.76,319.58,0.95,-24.59%,13.39,-4.42%
nov2023,7,South St,16296.0,9142.29,754.62,1.78,-2.77%,21.59,2.99%
nov2023,8,Klondike Express,10717.0,7022.8,474.76,1.53,-8.18%,22.57,5.92%
nov2023,9,Park East,2570.0,4522.93,308.93,0.57,-5.81%,8.32,0.10%
nov2023,10,Northwestern,26254.0,6957.73,585.96,3.77,37.09%,44.81,7.48%
nov2023,23,Connector,21935.0,8984.97,761.04,2.44,16.07%,28.82,57.19%
nov2023,Others,Others,760.0,,,,#DIV/0!,,#DIV/0!
nov2023,,,,,,,18.59%,31.93,6.58%
nov2023,13,Silver Loop,40174.0,4397.73,624.71,9.14,0.93%,64.31,0.95%
nov2023,14,Black Loop,1211.0,1016.58,115.32,1.19,-77.38%,10.5,-83.15%
nov2023,15,Tower Acres,29904.0,4956.24,624.52,6.03,266.05%,47.88,60.65%
nov2023,20,South Campus Loop,1063.0,1622.35,207.51,0.66,-60.25%,5.12,-46.62%
nov2023,28,Gold Loop,17698.0,3442.76,429.15,5.14,36.53%,41.24,-17.45%
nov2023,,,,,,,14.99%,45.0,-9.52%
nov2023,21A,Lark & Alight,20595.0,6123.19,445.35,3.36,-27.66%,46.24,-4.16%
nov2023,24,Redpoint,7153.0,4115.52,224.42,1.74,43.34%,31.87,-10.40%
nov2023,35,Lindberg Express,31160.0,7428.98,607.19,4.19,17.93%,51.32,0.00%
nov2023,,,,,,,-0.26%,46.13,-3.43%
nov2023,DR,ACCESS/FLEX,3060.0,15207.0,1160.0,0.2,-0.64%,2.64,-1.42%
nov2023,Demand Response Total:,,30601520711600.2,,,,-0.64%,2.64,-1.42%
dec2023,1A,Market Square,17705.0,13783.45,1032.58,1.28,17.74%,17.15,-2.48%
dec2023,1B,Salisbury,26619.0,9854.98,825.75,2.7,13.20%,32.24,5.38%
dec2023,2A,Schuyler Ave,4690.0,3609.33,286.08,1.3,9.70%,16.39,-8.87%
dec2023,2B,Union St,5499.0,3564.24,314.8,1.54,26.73%,17.47,-7.69%
dec2023,3,Lafayette Square,9991.0,10702.6,739.19,0.93,23.40%,13.52,-1.06%
dec2023,4A,Tippecanoe Mall,11155.0,6248.53,592.79,1.79,23.70%,18.82,-4.32%
dec2023,4B,Purdue West,41406.0,11310.98,842.84,3.66,19.27%,49.13,-6.63%
dec2023,5,Happy Hollow,10071.0,5909.74,391.47,1.7,21.06%,25.73,-5.84%
dec2023,6A,Fourth St,13132.0,11560.83,726.86,1.14,-0.48%,18.07,-0.48%
dec2023,6B,South 9th,3608.0,4523.42,318.07,0.8,-18.76%,11.34,-9.98%
dec2023,7,South St,15618.0,9164.95,760.82,1.7,9.05%,20.53,-5.93%
dec2023,8,Klondike Express,12114.0,7161.05,479.88,1.69,-5.90%,25.24,0.00%
dec2023,9,Park East,1949.0,4301.38,293.74,0.45,-11.77%,6.64,-9.08%
dec2023,10,Northwestern,13174.0,5489.29,461.97,2.4,34.67%,28.52,-4.36%
dec2023,23,Connector,13666.0,7863.72,656.02,1.74,25.96%,20.83,26.22%
dec2023,Others,Others,296.0,0.0,0.0,inf,,inf,
dec2023,,,,,,,14.18%,23.01,-1.78%
dec2023,13,Silver Loop,20316.0,2524.16,354.07,8.05,-3.25%,57.38,-5.87%
dec2023,14,Black Loop,665.0,575.98,65.96,1.15,n/a,10.08,n/a
dec2023,15,Tower Acres,12152.0,2921.18,359.03,4.16,-4.77%,33.85,-15.16%
dec2023,20,South Campus Loop,473.0,937.8,120.12,0.5,n/a,3.94,n/a
dec2023,28,Gold Loop,7275.0,2012.47,246.85,3.61,14.36%,29.47,-24.06%
