month,Route,Route Name,Passengers,Total Miles,Total Hours,P/Mi,%DIFF FROM prior (P/Mi),P/Hrs,%DIFF FROM prior (P/Hrs)
jan2023,1A,Market Square,16105,13568.76,,1.19,45.21%,14.8,41.11%
jan2023,1B,Salisbury,29972,9543.26,,3.14,54.39%,36.9,54.20%
jan2023,2A,Schuyler Ave,5771,3568.21,,1.62,49.59%,18.8,49.60%
jan2023,2B,Union St,5285,3587.26,,1.47,27.30%,17.2,33.69%
jan2023,3,Lafayette Square,8481,10315.06,,0.82,33.00%,12.3,32.80%
jan2023,4A,Tippecanoe Mall,10139,6259.2,,1.62,58.11%,19.3,57.90%
jan2023,4B,Purdue West,54241,11520.62,,4.71,36.46%,68.1,36.58%
jan2023,5,Happy Hollow,14470,7916.5,,1.83,-47.12%,31.4,-31.52%
jan2023,6A,Fourth St,12931,11292.52,,1.15,43.93%,17.9,43.77%
jan2023,6B,South 9th,4399,4561.25,,0.96,69.04%,14.4,69.04%
jan2023,7,South St,15352,8995.83,,1.71,47.16%,19.6,47.04%
jan2023,8,Klondike Express,8377,5979.85,,1.4,46.82%,19.1,54.09%
jan2023,9,Park East,2348,4283.88,,0.55,26.30%,7.9,28.17%
jan2023,10,Northwestern,22648,6010.41,,3.77,120.47%,45.1,120.60%
jan2023,23,Connector,14296,5732.89,,2.49,51.12%,29.3,50.48%
jan2023,Others,Others,-,-,,0.0,0.00%,0.0,0.00%
jan2023,,,,,,,34.39%,26.4,36.40%
jan2023,13,Silver Loop,64198,3576.15,497.25,17.95,53.21%,129.1,53.18%
jan2023,17,Ross Ade,3954,2928.81,338.75,1.35,-53.26%,11.7,-61.83%
jan2023,15,Tower Acres,37613,4904.3,578.0,7.67,29.93%,65.1,30.07%
jan2023,28,Gold Loop,22029,3963.73,422.5,5.56,8.74%,52.1,8.45%
jan2023,,,,,,,31.86%,69.6,26.25%
jan2023,21A,Lark & Alight,21100,5317.01,375.0,3.97,34.71%,56.3,34.80%
jan2023,24,Redpoint,4634,4027.81,213.0,1.15,45.50%,21.8,45.49%
jan2023,35,Lindberg Express,44758,6068.07,478.5,7.38,68.97%,93.5,68.97%
jan2023,,,,,,,55.49%,66.1,55.52%
jan2023,DR,ACCESS/FLEX,2956,9247.0,591.1,0.32,-5.95%,5.0,-6.02%
jan2023,Demand Response Total:,,"2,956 9,247.00 591.10 0.32",,,,-5.95%,5.0,-6.02%
feb2023,1A,Market Square,14539,13077.3,,1.11,26.15%,14.9,30.48%
feb2023,1B,Salisbury,32388,9191.65,,3.52,63.17%,46.1,81.38%
feb2023,2A,Schuyler Ave,4476,3526.74,,1.27,0.80%,15.7,7.77%
feb2023,2B,Union St,5538,3472.45,,1.59,21.88%,17.9,23.59%
feb2023,3,Lafayette Square,9693,9677.32,,1.0,64.87%,14.1,49.76%
feb2023,4A,Tippecanoe Mall,9692,5966.22,,1.62,44.28%,17.0,25.92%
feb2023,4B,Purdue West,58069,11097.71,,5.23,44.06%,68.4,30.33%
feb2023,5,Happy Hollow,16739,7232.05,,2.31,-32.83%,32.9,-27.34%
feb2023,6A,Fourth St,13073,10917.36,,1.2,48.94%,19.7,56.97%
feb2023,6B,South 9th,4619,4343.97,,1.06,68.89%,14.3,51.37%
feb2023,7,South St,16260,8670.45,,1.88,64.16%,22.4,62.31%
feb2023,8,Klondike Express,7870,5805.36,,1.36,48.92%,17.5,48.00%
feb2023,9,Park East,2169,4198.9,,0.52,-2.55%,7.4,-1.17%
feb2023,10,Northwestern,25862,6401.93,,4.04,122.46%,47.8,120.21%
feb2023,23,Connector,16339,5456.73,,2.99,71.22%,35.2,71.27%
feb2023,Others,Others,189,N/A,,,N/A,,N/A
feb2023,,,,,,,37.63%,28.4,36.29%
feb2023,13,Silver Loop,77374,4366.56,649.48,17.72,54.42%,119.1,44.34%
feb2023,15,Tower Acres,44234,6114.09,742.25,7.23,52.00%,59.6,51.99%
feb2023,17,Ross Ade,4694,3322.09,394.62,1.41,-52.53%,11.9,-62.80%
feb2023,28,Gold Loop,31006,5200.79,552.91,5.96,27.97%,56.1,27.97%
feb2023,,,,,,,42.84%,67.2,33.23%
feb2023,21A,Lark & Alight,27560,6705.57,486.48,4.11,183.20%,56.7,175.49%
feb2023,24,Redpoint,6179,5228.88,282.55,1.18,206.74%,21.9,200.18%
feb2023,35,Lindberg Express,56350,8018.48,638.98,7.03,318.38%,88.2,314.01%
feb2023,,,,,,,61.55%,64.0,57.07%
feb2023,DR,ACCESS/FLEX,4024,9471.3,599.1,0.42,14.30%,6.7,17.65%
feb2023,Demand Response Total:,,"4,024 9,471.30 599.10 0.42",,,,14.30%,6.7,17.65%
mar2023,1A,Market Square,16819,14494.49,,1.16,47.39%,15.5,51.86%
mar2023,1B,Salisbury,31962,10395.57,,3.07,83.98%,40.5,105.64%
mar2023,2A,Schuyler Ave,5653,3989.55,,1.42,32.96%,17.4,40.53%
mar2023,2B,Union St,6152,3908.57,,1.57,37.98%,17.8,40.13%
mar2023,3,Lafayette Square,9369,10892.35,,0.86,52.93%,12.3,45.46%
mar2023,4A,Tippecanoe Mall,10399,6634.58,,1.57,52.40%,16.3,32.83%
mar2023,4B,Purdue West,49385,12485.83,,3.96,21.61%,52.2,11.73%
mar2023,5,Happy Hollow,14982,7379.51,,2.03,-41.60%,29.1,-36.88%
mar2023,6A,Fourth St,13435,11986.92,,1.12,55.32%,18.5,63.88%
mar2023,6B,South 9th,4334,4763.9,,0.91,96.05%,12.1,74.43%
mar2023,7,South St,16644,9666.05,,1.72,45.20%,20.2,48.21%
mar2023,8,Klondike Express,9286,6230.86,,1.49,87.02%,19.3,86.03%
mar2023,9,Park East,2449,4771.9,,0.51,16.16%,7.4,18.73%
mar2023,10,Northwestern,21697,6900.93,,3.14,59.94%,39.6,68.21%
mar2023,23,Connector,13819,6228.77,,2.22,74.03%,26.2,75.33%
mar2023,Others,Others,-,N/A,,,N/A,,N/A
mar2023,,,,,,,42.23%,24.6,42.67%
mar2023,13,Silver Loop,58680,3911.64,569.83,15.0,25.35%,103.0,19.68%
mar2023,15,Tower Acres,33844,4753.18,576.9,7.12,18.79%,58.7,-7.58%
mar2023,17,Ross Ade,3330,3087.24,362.32,1.08,-55.21%,9.2,-55.00%
mar2023,28,Gold Loop,24075,4368.97,469.09,5.51,4.69%,51.3,3.61%
mar2023,,,,,,,23.09%,60.6,14.72%
mar2023,21A,Lark & Alight,21290,6084.09,440.01,3.5,15.16%,48.4,12.38%
mar2023,24,Redpoint,5242,4717.09,255.38,1.11,23.11%,20.5,20.32%
mar2023,35,Lindberg Express,41108,6956.26,558.13,5.91,41.32%,73.7,38.90%
mar2023,,,,,,,30.06%,54.0,27.51%
mar2023,DR,ACCESS/FLEX,3233,15167.77,1111.94,0.21,-18.94%,2.9,-9.39%
mar2023,Demand Response Total:,,"3,233 15,167.77 1111.94 0.21",,,,-18.94%,2.9,-9.39%
apr2023,1A,Market Square,16521,13184.99,,1.25,28.06%,16.7,32.22%
apr2023,1B,Salisbury,31306,9444.89,,3.31,43.10%,43.7,60.30%
apr2023,2A,Schuyler Ave,5297,3557.83,,1.49,5.11%,18.3,11.36%
apr2023,2B,Union St,5491,3552.84,,1.55,0.82%,17.6,3.71%
apr2023,3,Lafayette Square,9517,9689.11,,0.98,36.08%,13.9,28.90%
apr2023,4A,Tippecanoe Mall,9461,6093.88,,1.55,26.75%,16.4,12.02%
apr2023,4B,Purdue West,53049,11512.62,,4.61,39.73%,61.0,28.04%
apr2023,5,Happy Hollow,13853,7148.77,,1.94,-54.14%,27.7,-49.98%
apr2023,6A,Fourth St,13885,11145.1,,1.25,27.61%,20.2,32.25%
apr2023,6B,South 9th,4364,4258.99,,1.02,49.77%,13.8,34.43%
