shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
62c1143c-029a-4b43-9f4f-6d6f9c55bc76,40.4170743554955,-86.8311953038068,42,6971.52
f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,40.3944200260304,-86.8370352756878,25,2281.68
de154292-7fe9-40e4-9e11-8776303bf1c6,40.4179730695532,-86.8499234076675,18,3388.32
106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,40.3938041635663,-86.8492175442781,39,6016.14
29c28934-efe6-48d7-bf29-bf7cd63335d7,40.4503858415864,-86.9252158553038,29,3590.14
5001d1c6-c1ea-4d03-b8eb-45705b3c0f70,40.4191168059438,-86.924163216717,27,2483.35
716a1134-702e-43b2-8984-fd6f12a926a3,40.460603,-86.925062,6,1148.81
12648a3c-ba8d-48be-8a85-8681ac0d9bff,40.4590198765842,-86.9361157213874,64,10587.31
b2e6d44b-e65b-45c2-9323-7fe8ca8c9945,40.4396154248485,-86.8992173313628,22,4737.14
a0020965-2b60-4e70-a047-a1b071f6ff20,40.433181652178,-86.9262774504687,8,385.79
a0020965-2b60-4e70-a047-a1b071f6ff20,40.4329756160364,-86.9216929031427,19,785.18
2713ba46-9e58-4dcd-8a32-2cb9dcf2490b,40.4333645363667,-86.8815053630772,8,1905.47
c5ec81b9-e850-475e-af29-7b3b1d08551d,40.47173,-86.89174,17,755.45
79dad13b-4042-4d5e-a786-240646d7578c,40.3932976957141,-86.9135000952184,57,8088.37
55c5e2f3-e55e-4b4b-b0e1-0f46278e7d95,40.4691186307199,-86.9450872290044,55,8211.94
26ecb9dd-aec2-4972-9d24-ee2ae9653374,40.43219,-86.862337,83,9615.33
62c1143c-029a-4b43-9f4f-6d6f9c55bc76,40.413880164088,-86.8268026201624,56,7693.27
6c20d044-6cfd-4f7b-af03-b2fd1fb8325b,40.4277077572172,-86.909955555794,15,2821.34
bb92f4e4-7c69-4f9a-a86b-ab4a6ebf37f7,40.4201380746091,-86.8956476035313,61,11912.49
29c28934-efe6-48d7-bf29-bf7cd63335d7,40.4670001714467,-86.9473485471892,9,636.44
5394dfa6-526f-417d-96b5-51e5d4ce396d,40.430277117778,-86.9129742209547,77,4749.48
7426c1e2-6b00-4c5f-8636-b34180893ecb,40.3942312184244,-86.8485170440493,6,472.6
56fdf086-7941-45a1-afb3-b928148109a2,40.4607217288447,-86.924275870578,49,4994.19
7426c1e2-6b00-4c5f-8636-b34180893ecb,40.4015320778806,-86.8694957714972,40,7590
77ef10ae-585a-4bc9-adff-fc125f0932d2,40.4190737600264,-86.8675121440035,40,6221.91
c5e3979b-c192-42fb-860c-c4c246c5eec0,40.4209180641035,-86.8943228477032,4,153.8
5394dfa6-526f-417d-96b5-51e5d4ce396d,40.4239518349288,-86.9082323136704,10,415.1
aacfedab-6f68-4a78-8641-b932f17dbff6,40.4282278040181,-86.9191214514328,4,1031.12
7261420d-8225-42cc-8837-046368279776,40.4189329099019,-86.899902635807,53,9762.97
d1a4f0a7-715f-4996-8eb3-283cae447608,40.4244956149304,-86.9411369969873,39,4363.41
b8c15b96-4ecb-4c22-87aa-527ace63b880,40.3818756866559,-86.8557028257102,63,9534.78
c5e3979b-c192-42fb-860c-c4c246c5eec0,40.4028311329922,-86.8566593914413,21,5307.56
8893a0f4-c34d-4fc9-a9fb-8e833fee37ca,40.4361781737911,-86.8621156729529,25,4109.95
624d1f32-a356-47fb-b477-afd271f462cd,40.4796344190154,-86.9311293472793,1,133.31
42719558-c2a4-467d-8614-840defe90744,40.4324761349543,-86.9151780644444,47,5832.88
27d96cf3-940c-495a-ba0e-94d497c2f149,40.4018700362367,-86.8699973446129,57,7801.27
2722571e-4f1d-44f8-adbb-bbb7443b4f43,40.4079318289716,-86.8676088373428,16,2730.83
6c20d044-6cfd-4f7b-af03-b2fd1fb8325b,40.4605303913859,-86.915516664167,37,8200.61
5394dfa6-526f-417d-96b5-51e5d4ce396d,40.4273488231359,-86.9219929019847,55,3499.9
42719558-c2a4-467d-8614-840defe90744,40.4700998205311,-86.9456146231406,6,266.61
e8ff9056-010e-480e-be87-5fbfd502f830,40.4242021098257,-86.9293586569642,54,5399.77
cb61ff86-9f1a-46c0-9881-c76c0287240f,40.3651971089954,-86.8624334073438,5,325.37
ae80f7da-68bb-4e11-82d9-4e434fd30733,40.437993,-86.869625,33,4465.18
811f6866-bf6b-4d63-b690-9320b35cc663,40.4063560310814,-86.8344339331647,43,9527.82
c5ec81b9-e850-475e-af29-7b3b1d08551d,40.4720771455968,-86.8884076019157,8,331.76
12648a3c-ba8d-48be-8a85-8681ac0d9bff,40.4462807780984,-86.936904115645,48,7242.85
55c5e2f3-e55e-4b4b-b0e1-0f46278e7d95,40.4690947959712,-86.9448418079711,54,8191.02
42719558-c2a4-467d-8614-840defe90744,40.4671898433698,-86.9407495411286,24,1305.53
d1a4f0a7-715f-4996-8eb3-283cae447608,40.4416792654764,-86.9619050551238,22,1560.49
7218f1c2-a821-475e-840c-a049d1a625b1,40.444060561855,-86.9432318551603,68,4502.76
bb92f4e4-7c69-4f9a-a86b-ab4a6ebf37f7,40.418249496843,-86.891552804858,56,11359.08
a0020965-2b60-4e70-a047-a1b071f6ff20,40.430362,-86.913149,34,1738.38
aacfedab-6f68-4a78-8641-b932f17dbff6,40.4729284627991,-86.8912592167413,41,9379.01
55c5e2f3-e55e-4b4b-b0e1-0f46278e7d95,40.4270640270152,-86.9094673937242,2,480.98
62c1143c-029a-4b43-9f4f-6d6f9c55bc76,40.4161849866024,-86.8147022613706,80,9419.27
0b4c0e9d-9ceb-4424-84ef-0c222182a7ed,40.4184337266386,-86.9101968355874,17,2222.78
db416ff3-0f30-49ce-a448-0bba8f984215,40.4260970906077,-86.8926110501654,27,4189.56
bc162fca-a6bc-4e4e-99d8-3f4648da05ea,40.3671936980764,-86.8702576489075,12,1190.02
7218f1c2-a821-475e-840c-a049d1a625b1,40.4310467548361,-86.9325609369898,86,6222.5
55c5e2f3-e55e-4b4b-b0e1-0f46278e7d95,40.4678593499163,-86.9433353405641,47,7955.83
bc162fca-a6bc-4e4e-99d8-3f4648da05ea,40.3836324674312,-86.8950113425059,40,4936.85
7110f3dc-2167-4bfb-8a75-b40c6791c80c,40.4032115282862,-86.8322620226112,37,3747.85
62c1143c-029a-4b43-9f4f-6d6f9c55bc76,40.4248305479565,-86.8605987265404,21,3596.59
5394dfa6-526f-417d-96b5-51e5d4ce396d,40.4314283131692,-86.9192244480364,67,4158.59
716a1134-702e-43b2-8984-fd6f12a926a3,40.4603998637438,-86.9189771663533,8,1664.57
77ef10ae-585a-4bc9-adff-fc125f0932d2,40.4166033703129,-86.8137232813547,3,177.61
7110f3dc-2167-4bfb-8a75-b40c6791c80c,40.4005973279832,-86.8047861340514,1,49.79
7110f3dc-2167-4bfb-8a75-b40c6791c80c,40.4033090414589,-86.8322707314652,36,3736.99
75965b70-7ad7-4945-be19-cfb16a1b3fa6,40.3934377263544,-86.8720943145599,45,6015.86
c5e3979b-c192-42fb-860c-c4c246c5eec0,40.4174536498338,-86.8642709099534,15,3095.56
f8091890-6a74-4783-b6f3-0328c8090a51,40.4362886321742,-86.9456711259474,34,5080.92
f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,40.3949737963297,-86.8373172186243,27,2374.61
3081f37d-fdeb-4b5a-8813-07fa7cc93ba2,40.432584,-86.919271,22,1032.5
5a3bff2c-b3f2-4911-8ef6-442c2d85d857,40.4030014735274,-86.8386192024297,53,10285.71
132fa334-e471-472b-921c-7d18439221cb,40.409628,-86.886396,13,3454.56
2713ba46-9e58-4dcd-8a32-2cb9dcf2490b,40.4418188596856,-86.8696352463743,0,0
42719558-c2a4-467d-8614-840defe90744,40.4715001864136,-86.9456731942697,4,110.51
26ecb9dd-aec2-4972-9d24-ee2ae9653374,40.4225222896876,-86.8470958071949,57,6953.14
c5ec81b9-e850-475e-af29-7b3b1d08551d,40.4735677125225,-86.8967016795992,23,1402.1
aacfedab-6f68-4a78-8641-b932f17dbff6,40.4641871430985,-86.8996692836088,33,7618.78
55c5e2f3-e55e-4b4b-b0e1-0f46278e7d95,40.4239673014239,-86.9080845832727,5,864.52
716a1134-702e-43b2-8984-fd6f12a926a3,40.4482910304243,-86.9158470282464,14,3275.8
7110f3dc-2167-4bfb-8a75-b40c6791c80c,40.4028961965308,-86.8513027015932,43,5374.83
7218f1c2-a821-475e-840c-a049d1a625b1,40.4494111949932,-86.9244315134646,41,1928.33
cb61ff86-9f1a-46c0-9881-c76c0287240f,40.4050779584097,-86.8975610671974,98,11196.21
f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,40.4321347434601,-86.8773586676931,71,10853.55
8893a0f4-c34d-4fc9-a9fb-8e833fee37ca,40.42001154702,-86.8924421221722,2,243.19
56fdf086-7941-45a1-afb3-b928148109a2,40.4652614779357,-86.9305186851986,71,6102.8
f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,40.402934873279,-86.8367071054403,33,3502.44
12648a3c-ba8d-48be-8a85-8681ac0d9bff,40.4207112145848,-86.8948077794795,0,0
9d713986-ad91-4d78-895f-ae03d84ed071,40.4678511424827,-86.934744000346,76,6744.19
2722571e-4f1d-44f8-adbb-bbb7443b4f43,40.4182569931899,-86.8798450755981,23,4277.29
27d96cf3-940c-495a-ba0e-94d497c2f149,40.4117988065312,-86.8770397048769,65,9167.59
cb61ff86-9f1a-46c0-9881-c76c0287240f,40.367140758077,-86.8759230551808,18,1668.53
7261420d-8225-42cc-8837-046368279776,40.4172954212007,-86.8961891172045,56,10126.91
0e410d81-233b-4f4e-b644-b926ae73d696,40.4344726582523,-86.9254625097787,37,3308.41
9e21239f-d54e-46e6-abcb-648b572ea90f,40.4182550122835,-86.8929220084798,21,4946.43
9d713986-ad91-4d78-895f-ae03d84ed071,40.4661846119414,-86.9282558610243,58,5835.12
e8ff9056-010e-480e-be87-5fbfd502f830,40.4439646270254,-86.9619474984376,23,1304.23
fa1bfc2a-4aa5-4966-81d1-33a2a1ea14c6,40.460496,-86.916281,38,8237.45
2722571e-4f1d-44f8-adbb-bbb7443b4f43,40.3937737878426,-86.8490868418864,7,428.17
42719558-c2a4-467d-8614-840defe90744,40.4675005219529,-86.9424130509803,23,1160.73
f71ad2a5-ff13-4379-adc1-e257c3e59f53,40.3815348673782,-86.8801401186073,78,8411.8
a9ab1807-2920-4cd6-b08d-3a8d7d8d9820,40.4030153395543,-86.8278920249875,35,8566.84
7218f1c2-a821-475e-840c-a049d1a625b1,40.4585328632801,-86.9318355991904,14,717.21
f71ad2a5-ff13-4379-adc1-e257c3e59f53,40.367103,-86.8713411314095,91,10753.19
5a3bff2c-b3f2-4911-8ef6-442c2d85d857,40.4200272512452,-86.89305093247,2,189.65
f8091890-6a74-4783-b6f3-0328c8090a51,40.4210061259645,-86.9217778744094,20,1761.93
cb61ff86-9f1a-46c0-9881-c76c0287240f,40.3782116102106,-86.8760349974653,30,2903.38
0e410d81-233b-4f4e-b644-b926ae73d696,40.4333529918998,-86.9238320252351,59,4021.82
12648a3c-ba8d-48be-8a85-8681ac0d9bff,40.4592995571898,-86.9425920749482,59,10034.3
ae80f7da-68bb-4e11-82d9-4e434fd30733,40.419998,-86.894208,1,94.1
5a3bff2c-b3f2-4911-8ef6-442c2d85d857,40.4251542940828,-86.8472146598825,31,6438.1
ed975a1b-9d65-44e7-b9a1-fd5ab53a748b,40.4454535358374,-86.9619650469784,2,242.18
bb92f4e4-7c69-4f9a-a86b-ab4a6ebf37f7,40.4029670597891,-86.8502992004334,34,5271.05
ed975a1b-9d65-44e7-b9a1-fd5ab53a748b,40.4644084253555,-86.9365308842976,17,4973.54
62c1143c-029a-4b43-9f4f-6d6f9c55bc76,40.4239781453597,-86.8510046214464,28,4559.46
12f97034-fc21-44ef-b9d2-1b478749ee65,40.4500551961904,-86.9418281556195,11,535.01
2a068c67-dc1e-4ead-a035-c4161cb0a07e,40.3997742093024,-86.8563008018387,18,1419.67
26ecb9dd-aec2-4972-9d24-ee2ae9653374,40.4208328214775,-86.8397054058932,51,6186.66
77ef10ae-585a-4bc9-adff-fc125f0932d2,40.4200690691061,-86.8881568576724,49,7987.65
f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,40.4207112145848,-86.8948077794795,88,13595.29
26ecb9dd-aec2-4972-9d24-ee2ae9653374,40.3933418672983,-86.8472984820095,10,639.57
bc162fca-a6bc-4e4e-99d8-3f4648da05ea,40.367241,-86.8686066191558,10,1049.84
7afb54ae-31a1-4536-b273-c1a67b17e963,40.4172962620423,-86.881858922984,11,1610.27
7426c1e2-6b00-4c5f-8636-b34180893ecb,40.4081598842922,-86.8767878979474,44,8598.5
bc162fca-a6bc-4e4e-99d8-3f4648da05ea,40.3743318416015,-86.8759291254668,24,2471.5
de154292-7fe9-40e4-9e11-8776303bf1c6,40.4238719927272,-86.8509222456928,28,4087.51
b8c15b96-4ecb-4c22-87aa-527ace63b880,40.4172873745732,-86.886183135878,6,1078.33
5394dfa6-526f-417d-96b5-51e5d4ce396d,40.4239823397918,-86.9080219400383,8,390.57
cb61ff86-9f1a-46c0-9881-c76c0287240f,40.3848299613494,-86.9100387042784,67,7041.04
db416ff3-0f30-49ce-a448-0bba8f984215,40.434413,-86.86357,6,1100.67
12f97034-fc21-44ef-b9d2-1b478749ee65,40.4476982298623,-86.9444496497337,52,1711.44
bb92f4e4-7c69-4f9a-a86b-ab4a6ebf37f7,40.4051099209686,-86.827809440694,15,2774.38
a793c083-222b-4293-9d4e-f7454bbd6855,40.4184127870482,-86.9070074352217,24,3006.36
7218f1c2-a821-475e-840c-a049d1a625b1,40.4173739931452,-86.8964282457784,142,10193.2
a9ab1807-2920-4cd6-b08d-3a8d7d8d9820,40.394993,-86.809646,44,12959.28
79dad13b-4042-4d5e-a786-240646d7578c,40.3926405544663,-86.9054709020538,59,8771.8
f71ad2a5-ff13-4379-adc1-e257c3e59f53,40.3846355011842,-86.9042022171141,49,6293.59
3c435a70-bd1f-4d17-86ca-139de51f22c9,40.4236254348532,-86.8940634664335,44,8442.94
2a068c67-dc1e-4ead-a035-c4161cb0a07e,40.393337,-86.84857,8,366.68
b4417114-9ce7-42e9-936b-536f4ec21247,40.4177916298981,-86.823625971295,7,1127.54
26ecb9dd-aec2-4972-9d24-ee2ae9653374,40.426462798487,-86.8471109760553,61,7391.2
106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,40.4173304540367,-86.8786440936959,10,1715.4
62c1143c-029a-4b43-9f4f-6d6f9c55bc76,40.4165727616814,-86.8250566032921,69,8236.28
716a1134-702e-43b2-8984-fd6f12a926a3,40.4266040281417,-86.905528569551,34,7228.15
7110f3dc-2167-4bfb-8a75-b40c6791c80c,40.4069662336687,-86.8322760958836,26,3307.74
a793c083-222b-4293-9d4e-f7454bbd6855,40.4199105738154,-86.8954408365865,51,4784.09
a9ab1807-2920-4cd6-b08d-3a8d7d8d9820,40.4027699174148,-86.857681981187,20,5225.18
55c5e2f3-e55e-4b4b-b0e1-0f46278e7d95,40.4509014190029,-86.9254150763783,33,5449.71
7110f3dc-2167-4bfb-8a75-b40c6791c80c,40.3988646208563,-86.8055894556993,5,255.39
007b678c-d15d-4e6a-8928-cab840ddf344,40.4242772116826,-86.9289536433788,62,9147.13
12f97034-fc21-44ef-b9d2-1b478749ee65,40.4313449742215,-86.9142551203119,103,5732.27
