month,Route,Route Name,Passengers,Total Miles,Total Hours,P/Mi,%DIFF FROM prior (P/Mi),P/Hrs,%DIFF FROM prior (P/Hrs)
sep2024,24E,Redpoint Express,5801,4167.15,230.77,1.39,-34.85%,25.14,-35.34%
sep2024,35E,Lindberg Express,36676,7927.45,654.17,4.63,-17.53%,56.06,-14.89%
sep2024,,,,18172.2,1336.56,4.04,-8.43%,54.97,-8.26%
sep2024,DR,ACCESS/FLEX,3000,14415.0,1086.0,0.21,5.09%,2.76,2.76%
sep2024,Demand Response Total:,,30001441510860.21,,,,5.09%,2.76,2.76%
oct2024,1A,Market Square,23251.0,14288.48,1113.71,1.63,9.20%,20.88,6.79%
oct2024,1B,Salisbury,38249.0,10187.93,861.27,3.75,-5.54%,44.41,-5.21%
oct2024,2A,Schuyler Ave,5277.0,3550.67,287.42,1.49,-43.27%,18.36,-43.87%
oct2024,2B,Union St,6009.0,3556.93,316.17,1.69,2.39%,19.01,2.23%
oct2024,3,Lafayette Square,12869.0,10929.25,786.93,1.18,5.21%,16.35,3.16%
oct2024,4A,Tippecanoe Mall,12789.0,6515.95,587.9,1.96,5.90%,21.75,11.24%
oct2024,4B,Purdue West,73101.0,11893.27,913.71,6.15,-26.42%,80.0,-26.75%
oct2024,5,Happy Hollow,21923.0,7447.75,560.01,2.94,39.18%,39.15,31.56%
oct2024,6A,Fourth St,20883.0,11555.25,724.03,1.81,33.91%,28.84,33.85%
oct2024,6B,South 9th,5953.0,4554.79,339.11,1.31,20.57%,17.55,19.44%
oct2024,7,South St,17596.0,9311.08,778.44,1.89,-3.80%,22.6,-5.59%
oct2024,8,Sagamore West,10639.0,7431.79,501.73,1.43,-15.14%,21.2,-13.81%
oct2024,9,Park East,2521.0,4792.38,325.71,0.53,-2.71%,7.74,-2.62%
oct2024,10,Northwestern,29896.0,7744.41,633.2,3.86,-4.80%,47.21,-2.00%
oct2024,23,Connector,23605.0,7535.18,639.31,3.13,22.50%,36.92,23.41%
oct2024,98,Feast,6476.0,895.41,63.22,7.23,16.45%,102.44,-4.32%
oct2024,Others,Others,3396.0,N/A,N/A,,N/A,,N/A
oct2024,,,,,,,7.12%,36.82,6.66%
oct2024,13C,Silver Loop,35269.0,4652.98,615.54,7.58,-15.42%,57.3,-8.34%
oct2024,14C,Black Loop,971.0,1185.9,113.25,0.82,-33.67%,8.57,-21.50%
oct2024,15C,Tower Acres,32413.0,4932.11,647.78,6.57,-3.67%,50.04,-6.87%
oct2024,16C,Bronze Loop,5048.0,3313.7,390.31,1.52,N/A,12.93,N/A
oct2024,,,,14084.69,1766.88,5.23,-14.67%,41.71,-45.72%
oct2024,21E,Lark & Alight Express,27638.0,6532.31,483.02,4.23,2.10%,57.22,1.57%
oct2024,24E,Redpoint Express,8204.0,4436.11,240.26,1.85,-8.94%,34.15,-8.16%
oct2024,35E,Lindberg Express,36261.0,7551.7,628.6,4.8,0.70%,57.69,0.25%
oct2024,,,,18520.12,1351.88,3.89,-0.09%,53.34,-0.25%
oct2024,DR,Microtransit,20.0,130,29,0.15,N/A,0.69,N/A
oct2024,DR,Paratransit,3390.0,15722,1155,0.22,N/A,2.93,N/A
oct2024,Demand Response Total:,,34101587411860.21,,,,2.51%,2.88,4.28%
oct2024,VP,Vanpool,,,,,,,
oct2024,Vanpool Total:,,,,,,,,
oct2024,,,,,,,,,
oct2024,,Grand Total:,4.6364717067013734e+17,,,,-5.56%,33.75,-4.67%
nov2024,1A,Market Square,22084,12622.25,991.77,1.75,21.53%,22.27,17.27%
nov2024,1B,Salisbury,33041,9104.09,774.61,3.63,-1.85%,42.66,-2.69%
nov2024,2A,Schuyler Ave,3619,2207.52,177.93,1.64,-14.21%,20.34,-14.68%
nov2024,2B,Union St,4403,2201.13,196.45,2.0,25.38%,22.41,23.85%
nov2024,3,Lafayette Square,11570,9908.56,696.44,1.17,4.15%,16.61,3.58%
nov2024,4A,Tippecanoe Mall,10784,5782.04,511.77,1.87,-7.25%,21.07,-0.98%
nov2024,4B,Purdue West,49657,10595.12,817.42,4.69,-36.24%,60.75,-37.47%
nov2024,5,Happy Hollow,17292,6378.06,479.1,2.71,12.56%,36.09,9.67%
nov2024,6A,Fourth St,15398,10522.5,655.67,1.46,14.79%,23.48,14.86%
nov2024,6B,South 9th,4689,4107.63,297.07,1.14,19.91%,15.78,17.86%
nov2024,7,South St,16644,8438.9,704.51,1.97,10.65%,23.62,9.40%
nov2024,8,Sagamore West,10058,6891.67,464.04,1.46,-4.36%,21.67,-3.98%
nov2024,9,Park East,1748,4216.8,289.84,0.41,-27.05%,6.03,-27.50%
nov2024,10,Northwestern,24218,6903.06,565.03,3.51,-7.02%,42.86,-4.34%
nov2024,23,Connector,17697,6239.09,532.0,2.84,16.19%,33.27,15.41%
