route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
24E,b2de3b5a-bea7-481a-98a5-c62b1807beca,0b53e31f-0db1-44d4-ac96-20947ad3bae7,e8ff9056-010e-480e-be87-5fbfd502f830,Express to Purdue Campus,1,227f8624-9320-4531-b4b0-04de0f75d70e
8,b2de3b5a-bea7-481a-98a5-c62b1807beca,05d778c2-c511-4485-9fce-000c0b4f6c7d,ed975a1b-9d65-44e7-b9a1-fd5ab53a748b,to WL Walmart,1,d0f283ed-ea28-41e3-afc1-0aad5e01ced0
15C,b2de3b5a-bea7-481a-98a5-c62b1807beca,88ed8e59-6b0b-4b5c-bf08-dd9d32dba974,3081f37d-fdeb-4b5a-8813-07fa7cc93ba2,to Campus and PMU,1,483547ff-8aef-4f8e-a644-ca005ff788b3
6A,31a67940-5b0a-493e-b9e2-9b93b15ff59a,4f527d24-1d0a-4475-a32a-b4ee34c65d23,cb61ff86-9f1a-46c0-9881-c76c0287240f,to CityBus Center,1,3ef01127-9ca9-47ec-896b-06c628112688
2B,8412ba33-64c1-4466-b8ba-7a5056f942ea,a8a052c2-0cc7-40d6-b0c7-fd101320faf6,8893a0f4-c34d-4fc9-a9fb-8e833fee37ca,to Union St & Underwood St,0,899fa948-832e-4166-ab46-27691685781c
4B,b2de3b5a-bea7-481a-98a5-c62b1807beca,23aa8b11-1da5-46b6-a118-25f01c5ea3e3,12648a3c-ba8d-48be-8a85-8681ac0d9bff,to Campus & WL Walmart,0,9a784c3a-a69e-4129-9198-0ada16b6fdd0
15C,b2de3b5a-bea7-481a-98a5-c62b1807beca,eb6b9646-4c96-4a96-8bf1-d753f50cc50b,3081f37d-fdeb-4b5a-8813-07fa7cc93ba2,to Campus and PMU,1,df398fec-bd2f-47fa-bb20-d160dbf581d3
4A,31a67940-5b0a-493e-b9e2-9b93b15ff59a,40350022-5c50-4d1e-a82b-8c5f2d98f77f,106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,to Tippecanoe Mall,0,ebdd7ddf-913d-4252-82f1-8a8a02da300f
7,87901baf-0994-499f-9975-63bb8fb0199c,c0c98d42-8a23-4ed8-8494-4ea7bda05b54,b4417114-9ce7-42e9-936b-536f4ec21247,to CityBus Center,0,a82c983c-6cb1-4b34-ade2-c32d12fb99b6
8,b2de3b5a-bea7-481a-98a5-c62b1807beca,8d02dc9b-8d54-4fe9-bf5c-2f31925c1ef2,ff80a8f5-2afb-449a-8e43-76f253357b41,to Klondike Rd and Rutherford Dr,0,d0f283ed-ea28-41e3-afc1-0aad5e01ced0
1B,9b84fbdb-8987-48b3-b034-b765a4d36474,ffeee5f3-72cc-469a-b1d7-f318387e689b,3c435a70-bd1f-4d17-86ca-139de51f22c9,to CityBus Center,1,24cb8c5b-0e26-463b-9f19-ffdf03c7a452
4A,87901baf-0994-499f-9975-63bb8fb0199c,7a60e5da-0ac5-4a0e-a9db-e2be5c4c3828,106b7a4b-c510-4c36-84f3-e9ba6c6a9e1a,to Tippecanoe Mall,0,70bb6d29-b930-44cd-99fe-0ea9152aba91
1A,9b84fbdb-8987-48b3-b034-b765a4d36474,dede9796-6233-45d4-a2a6-fb75c5405f98,f0bfdbab-3f2e-40c7-823b-27ed6dd81e54,to CityBus Center,1,afa99155-5e6b-4d26-a5fe-bfc261718fee
23,8412ba33-64c1-4466-b8ba-7a5056f942ea,93f776f9-1ac9-41eb-8c2c-9590dba0f60a,007b678c-d15d-4e6a-8928-cab840ddf344,to Wabash Landing & Purdue Campus,1,87344686-dcb7-4a55-8587-f3c46cd550ed
15C,b2de3b5a-bea7-481a-98a5-c62b1807beca,a6f1b25d-7dc2-4027-81ca-6d4cc6cf6dd4,a0020965-2b60-4e70-a047-a1b071f6ff20,to Campus and PMU,1,ee991dec-f85c-483a-ad93-5e101c371ead
13C,b2de3b5a-bea7-481a-98a5-c62b1807beca,3c2d6245-5bf2-40cc-a50c-602fe0efc417,5394dfa6-526f-417d-96b5-51e5d4ce396d,to Dorms & Dining Halls & Physics,0,06c8e545-28b5-491c-afe3-90aeaa185f60
13C,b2de3b5a-bea7-481a-98a5-c62b1807beca,aa0b8f40-d3cc-413d-ad27-ae6c69709c7c,5394dfa6-526f-417d-96b5-51e5d4ce396d,to Dorms & Dining Halls & Physics,0,06c8e545-28b5-491c-afe3-90aeaa185f60
4A,b2de3b5a-bea7-481a-98a5-c62b1807beca,fe756698-c7f5-47a6-81c6-1f30ae52b8f1,2a068c67-dc1e-4ead-a035-c4161cb0a07e,to CityBus Center,1,761f6fb6-f586-4f58-b920-516e50019f3a
7,9b84fbdb-8987-48b3-b034-b765a4d36474,da1786ab-009e-48d5-bc93-8edb13512509,62c1143c-029a-4b43-9f4f-6d6f9c55bc76,to Walmart & Meijer,1,1f80988e-b7dd-42a2-a344-e22d270bd994
4A,b2de3b5a-bea7-481a-98a5-c62b1807beca,9533c685-29f0-4832-ad5a-36c035a0921a,2a068c67-dc1e-4ead-a035-c4161cb0a07e,to CityBus Center,1,4ed8d90d-6d06-4319-ba77-a24330960859
6B,b2de3b5a-bea7-481a-98a5-c62b1807beca,2397ebb8-cacb-4044-a9b3-a24aaf6d470a,9e21239f-d54e-46e6-abcb-648b572ea90f,to CityBus Center,0,42ae54b2-e3c8-428a-aacc-abeed7237b95
1B,c3b47a3f-853b-4e8f-8f8f-36a78b536dce,a85f4d69-e2fc-47e2-a1f5-32cee01c60ac,3c435a70-bd1f-4d17-86ca-139de51f22c9,to CityBus Center,1,8a12c71d-3199-459c-9093-a70f92dce1db
2A,b2de3b5a-bea7-481a-98a5-c62b1807beca,e8e5ea8d-2b55-40fe-ac78-5ed677090a8e,f42d1f15-dd59-4025-b28f-99a130b2d962,to CityBus Center,0,8d56c026-2c7c-4552-b2b3-c7289fd47c84
10,b2de3b5a-bea7-481a-98a5-c62b1807beca,edeb2461-040a-4653-b4d2-7c48738e2d3b,56fdf086-7941-45a1-afb3-b928148109a2,to Shining Armor Ln,0,8ece779e-0f29-4ee6-a997-55b255c6b89a
6B,87901baf-0994-499f-9975-63bb8fb0199c,bfd20df7-8024-4ad9-862b-ec63301adc43,76f6f48e-6195-424d-9f43-c18c77e27a27,to Beck Ln,1,a0dadc47-5427-40ec-9626-53ca8bf9bb79
2B,87901baf-0994-499f-9975-63bb8fb0199c,4cc10573-06c5-43b1-b4eb-7460d8265161,33ace3e0-53ff-4dc0-a898-bd50817a1644,to CityBus Center,1,4cc4094a-f822-4c9b-a9f7-b55b10fc089a
13C,b2de3b5a-bea7-481a-98a5-c62b1807beca,53ed491e-95ab-405e-8738-b69a9517d006,5394dfa6-526f-417d-96b5-51e5d4ce396d,to Dorms & Dining Halls & Physics,0,e4e06e79-5efd-4427-8b64-b2f9ee3ed66c
24E,b2de3b5a-bea7-481a-98a5-c62b1807beca,0bee84fa-3e4c-4a5c-97ea-c3d4d2eaf9ef,f8091890-6a74-4783-b6f3-0328c8090a51,Express to Redpoint Apts,0,227f8624-9320-4531-b4b0-04de0f75d70e
6A,8412ba33-64c1-4466-b8ba-7a5056f942ea,9e558ac7-03b3-4005-8d5a-a6db226e44b5,f71ad2a5-ff13-4379-adc1-e257c3e59f53,to Veterans Memorial Pkwy S / Walmart,0,6450a572-426e-4bce-be27-90731ab06fc1
4B,8412ba33-64c1-4466-b8ba-7a5056f942ea,9e52ed73-b024-4eb2-a1c4-080c9071c7ad,7218f1c2-a821-475e-840c-a049d1a625b1,to Campus & CityBus Center,1,7fc60895-94f6-4224-bbeb-08ad0b836ba8
6A,9b84fbdb-8987-48b3-b034-b765a4d36474,ef3b21bd-d345-44be-82e7-b167e63f2b6a,cb61ff86-9f1a-46c0-9881-c76c0287240f,to CityBus Center,1,3e700deb-7aa3-4e7b-8f93-1d3a820844e7
4B,8412ba33-64c1-4466-b8ba-7a5056f942ea,75bb0cbb-9d95-48bb-87c5-eab110703b6b,12648a3c-ba8d-48be-8a85-8681ac0d9bff,to Campus & WL Walmart,0,26e89940-8e97-477c-b716-f79f7a0d5822
6A,87901baf-0994-499f-9975-63bb8fb0199c,91dad1e9-6e0b-4d1b-adee-b7dc2678ef91,f71ad2a5-ff13-4379-adc1-e257c3e59f53,to Veterans Memorial Pkwy S / Walmart,0,cafd5b82-2002-4b8b-a20a-9c48aa1c3088
