service_id,date,exception_type
22449147-15ca-4b70-82a2-cc4da9bf8217,20260604,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260606,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260606,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260608,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260608,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260609,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260609,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260610,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260610,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260611,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260611,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260613,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260613,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260615,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260615,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260616,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260616,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260617,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260617,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260618,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260618,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260620,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260620,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260622,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260622,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260623,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260623,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260624,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260624,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260625,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260625,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260627,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260627,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260629,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260629,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260630,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260630,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260701,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260701,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260702,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260702,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260704,2
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260706,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260706,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260707,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260707,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260708,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260708,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260709,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260709,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260711,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260711,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260713,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260713,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260714,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260714,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260715,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260715,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260716,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260716,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260718,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260718,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260720,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260720,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260721,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260721,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260722,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260722,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260723,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260723,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260725,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260725,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260727,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260727,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260728,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260728,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260729,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260729,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260730,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260730,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260801,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260801,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260803,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260803,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260804,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260804,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260805,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260805,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260806,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260806,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260808,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260808,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260810,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260810,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260811,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260811,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260812,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260812,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260813,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260813,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260815,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260815,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260817,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260817,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260818,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260818,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260819,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260819,1
6916d0ff-20cc-4538-8c28-acc0b213a79c,20260820,2
22449147-15ca-4b70-82a2-cc4da9bf8217,20260820,1
ea7d0f8c-d6e8-43da-8f94-f82cdefbb008,20260822,2
40231b63-3bdb-45c8-8963-5c11eea6ee10,20260822,1
