Route,Route Name,Passengers
11,Creasy Lane,10599
12,South Street,10677
13,Main Street,11359
14,Brady Lane,10067
21,McCormick Road,32234
22,Salisbury Street,23148
23,Sagamore West,5115
31,North 9th Street,3068
32,Schuyler Avenue,6360
33,Ferry Street,3706
34,Teal Road,4405
35,Park East Bouldevard,1037
36,South 18th Street,2621
42,Happy Hollow Road,10603
43,Northwestern,14542
