shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
96c76f87-236b-4d10-a004-d18116c5a5a0,40.4387114641495,-86.9171690751377,29,1915.29
01b692f1-d433-46dc-bbc7-f1ccd7a75e1d,40.4173731088977,-86.8759535996543,57,5586.59
ade7b7b0-935b-439e-966d-c3f250810c1a,40.4268186922206,-86.8919924038821,10,817.57
4b95220c-b38a-4e29-86e4-87b6928ae673,40.3838743114886,-86.8424898962432,3,96.17
c7cc28c1-7c0e-4520-ae19-cb46fb733b6b,40.4494111949932,-86.9244315134646,39,1927.9
0fd3c4b0-ae9d-40b2-a07c-715b3b3b553a,40.3944334381096,-86.899990551766,43,3409.15
28e019d7-aabd-407a-8617-6fb357801f08,40.3849457482248,-86.8415136945798,7,293.25
13bf0b02-f652-4609-943f-dbc509710e91,40.4321605290286,-86.8653043256714,145,8200.31
9172832a-d99f-4400-b801-baf4cfd054b7,40.4304608726042,-86.9322069734966,86,4168.29
a05e2688-6ec0-45d9-a447-37df08b14d0b,40.42558,-86.886886,22,1336.86
3326e01b-3c23-4fa9-bcd3-2acaafb07d2d,40.3983389078581,-86.8385538064572,192,12266.55
dd423f77-d4ba-47f0-98c9-7d78e756d475,40.3991556405518,-86.8670925120766,68,4248.03
28e019d7-aabd-407a-8617-6fb357801f08,40.3870480302215,-86.8401774166609,10,574.04
0fd3c4b0-ae9d-40b2-a07c-715b3b3b553a,40.3817786265748,-86.8649255545246,141,10440.29
e81bb089-9706-4260-bf6e-57a054f3429f,40.4319315376909,-86.8663489927622,55,3375
e81bb089-9706-4260-bf6e-57a054f3429f,40.4264661111435,-86.8773462741823,43,2257.95
e81bb089-9706-4260-bf6e-57a054f3429f,40.424696518153,-86.8885614351092,22,1100.54
e81bb089-9706-4260-bf6e-57a054f3429f,40.4280413701681,-86.8741924422957,46,2578.22
e81bb089-9706-4260-bf6e-57a054f3429f,40.4361238523035,-86.8621617741674,72,3991.85
e81bb089-9706-4260-bf6e-57a054f3429f,40.4335146644561,-86.8649520952468,64,3596.16
e81bb089-9706-4260-bf6e-57a054f3429f,40.424714887173,-86.8824013580542,31,1625.24
e81bb089-9706-4260-bf6e-57a054f3429f,40.427984155775,-86.8742947703442,44,2566.3
e81bb089-9706-4260-bf6e-57a054f3429f,40.4306331003266,-86.8690342031877,52,3105.02
e81bb089-9706-4260-bf6e-57a054f3429f,40.4361781737911,-86.8621156729529,73,3999.04
e81bb089-9706-4260-bf6e-57a054f3429f,40.4332344492217,-86.8652431288506,62,3554.48
e81bb089-9706-4260-bf6e-57a054f3429f,40.4246886905482,-86.8823106834754,32,1633.44
e81bb089-9706-4260-bf6e-57a054f3429f,40.4310542632512,-86.8681929398519,53,3190.19
e81bb089-9706-4260-bf6e-57a054f3429f,40.4247127990156,-86.8822093457855,33,1642.42
e81bb089-9706-4260-bf6e-57a054f3429f,40.4247115757251,-86.880770935456,34,1764.1
1f6ab1b9-203d-4800-9c2f-0575ebaff4a6,40.4313792556822,-86.9129767979665,164,6277.51
3326e01b-3c23-4fa9-bcd3-2acaafb07d2d,40.4338718880537,-86.8871347406432,67,3954.99
afbfbe89-3824-47d8-a4f2-727023af88ac,40.4240813101271,-86.9118721362696,67,4674.34
1f6ab1b9-203d-4800-9c2f-0575ebaff4a6,40.4604455676944,-86.917950421177,80,1827.78
a05e2688-6ec0-45d9-a447-37df08b14d0b,40.422493206993,-86.8471240420488,114,6831.41
89055b80-8ef0-49cc-bbe3-6c7d5415021a,40.4196747776944,-86.9007417703748,20,1137.05
1f1c7703-f37e-4cab-90b2-34b3f54726f7,40.4664034163696,-86.9620814456567,62,4140.93
3326e01b-3c23-4fa9-bcd3-2acaafb07d2d,40.4321371066271,-86.8871587240156,69,4148.68
01b692f1-d433-46dc-bbc7-f1ccd7a75e1d,40.4182210468961,-86.8930758366369,83,7081.91
3326e01b-3c23-4fa9-bcd3-2acaafb07d2d,40.4205742670559,-86.845633701806,162,9188.66
3fa1788a-9312-405f-9fad-405ff4e7cdb3,40.4464268950478,-86.8992522000821,64,3821.19
24732034-b22f-40df-870b-590d76e81a8c,40.3938571136422,-86.8096794654071,129,11238.07
d556586f-5536-47a5-9e1f-9ad30028e9c9,40.430779569946,-86.9057574972367,82,4422.03
24732034-b22f-40df-870b-590d76e81a8c,40.3925099571476,-86.809698227899,124,11069.23
e5c0c034-1aae-426b-a8b7-3e19ad8540c5,40.4347861405925,-86.8815371194959,37,2618.87
e81bb089-9706-4260-bf6e-57a054f3429f,40.4246902718955,-86.880657784978,35,1773.96
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4245414092864,-86.9190750669882,27,1867.88
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4244404009657,-86.9191242132172,26,1855.91
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4246123216494,-86.9191220623906,28,1876.71
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.426357701047,-86.9191371181751,29,2070.66
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4265328914122,-86.9191457214808,31,2093.02
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4281816232409,-86.9191457214805,32,2276.23
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4282847699663,-86.9191521739597,34,2288.6
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4301544815956,-86.9191629280914,35,2496.36
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4302384215735,-86.9191072534983,36,2506.81
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4303427596582,-86.9191736822234,37,2519.69
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4264444366958,-86.9190764080928,30,2081.58
4aac4c21-daca-4d3b-abb9-c9efb54fea4a,40.4282278040181,-86.9191214514328,33,2281.76
d556586f-5536-47a5-9e1f-9ad30028e9c9,40.4604473036815,-86.916945426357,170,8142.97
56875f33-4f60-4591-a742-8e882d645c09,40.4505790150408,-86.9246990052492,67,5451.5
1f1c7703-f37e-4cab-90b2-34b3f54726f7,40.451708604979,-86.962014109712,79,5788.64
002a917d-6cdc-46ab-bb61-4e54c64205ee,40.4200500468177,-86.8954484040621,66,4523.88
93c1bdef-1567-4615-ab23-04d3cc324ca3,40.430362,-86.913149,4,239.59
c7cc28c1-7c0e-4520-ae19-cb46fb733b6b,40.4190916599699,-86.9000312184518,137,9831
c7cc28c1-7c0e-4520-ae19-cb46fb733b6b,40.41824428563,-86.8953314111259,149,10773.42
170011b0-977b-444b-a647-c0e01b5f04fb,40.3885356251809,-86.8857890149428,20,1755.29
f45e2fd4-e04e-476c-87ff-d079f18a5c71,40.4172645757952,-86.8894339733978,9,805.44
9172832a-d99f-4400-b801-baf4cfd054b7,40.44918801603,-86.9415381958879,23,766.89
96c76f87-236b-4d10-a004-d18116c5a5a0,40.4794529059688,-86.9311751689955,155,10407.38
01b692f1-d433-46dc-bbc7-f1ccd7a75e1d,40.4165919554727,-86.8135159383291,2,160.22
d556586f-5536-47a5-9e1f-9ad30028e9c9,40.4608048773292,-86.9304033774378,226,9315.91
e0c92e87-ef25-4f24-8979-fce9c3bc02dd,40.462022,-86.935988,54,5355.86
e8cb7b35-8b91-4734-bc08-322ef94d7dcd,40.450260928961,-86.9251253197379,48,4352
28e019d7-aabd-407a-8617-6fb357801f08,40.3830363038111,-86.8427490938001,0,0
01f4d3e9-bd6a-4bca-ab3c-3b44e6831475,40.3846897131172,-86.9046561204262,91,6978.44
01f4d3e9-bd6a-4bca-ab3c-3b44e6831475,40.3846956457519,-86.903466391766,92,7079.14
